Category,SubCategory,CatID,Synonyms - Comma Separated,Category_zh,SubCategory_zh,Synonyms_zh,Category_tw,SubCategory_tw,Synonyms_tw
AIRCRAFT,MISC,AEROMisc,"blimp, glider, hot air balloon, ultralight, hang glider, zeppelin, dirigible",航空器,杂项,"飞艇, 滑翔机, 热气球, 超轻型, 悬挂式滑翔机, 齐柏林飞艇, 飞船",飛機,其他,"飛艇, 滑翔機, 熱氣球, 超輕, 懸掛式滑翔機, 齊柏林飛艇, 飛船"
AIRCRAFT,PROP,AEROProp,"biplane, triplane, turboprop, stunt plane, crop duster, piper cub, propeller, twin-prop, propjet, airscrew",航空器,螺旋桨飞机,"双翼飞机,三翼飞机,涡轮螺旋桨飞机,特技飞机,作物喷粉器,吹笛者幼崽,螺旋桨,双螺旋桨,螺旋桨喷气发动机,螺旋桨",飛機,螺旋槳飛機,"雙翼飛機,三翼飛機,渦輪螺旋槳飛機,特技飛機,作物噴粉器,吹笛者幼崽,螺旋槳,雙螺旋槳,螺旋槳噴氣發動機,螺旋槳"
AIRCRAFT,RADIO CONTROLLED,AERORadio,"quadcopters, uav, unmanned aerial vehicle",航空器,塔台,"四轴飞行器, 无人机, 无人驾驶飞行器",飛機,塔台,"四軸飛行器, 無人機, 無人駕駛飛行器"
AIRCRAFT,ROCKET,AERORckt,"rocket, missile, jetpack, space shuttle, spacex, nasa, icbm, nuclear rocket",航空器,火箭,"火箭, 导弹, 喷气背包, 航天飞机, spacex, 美国航空航天局, 洲际导弹, 核火箭",飛機,火箭,"火箭, 導彈, 噴氣背包, 航天飛機, spacex, 美國航空航天局, 洲際導彈, 核火箭"
ALARMS,BELL,ALRMBell,"fire bell, school bell, railroad crossing bell, sleigh bell",警报,警铃,"火铃,校铃,铁路道口铃,雪橇铃",警報,警鈴,"火鈴,校鈴,鐵路道口鈴,雪橇鈴"
ALARMS,BUZZER,ALRMBuzr,"door buzzer, game show buzzer",警报,蜂鸣器,"门铃,游戏节目蜂鸣器",警報,蜂鳴器,"門鈴,遊戲節目蜂鳴器"
ALARMS,CLOCK,ALRMClok,"digital alarm clock, alarm clock",警报,警钟,"数字闹钟,闹钟",警報,警鐘,"數字鬧鐘,鬧鐘"
ALARMS,ELECTRONIC,ALRMElec,fire detector,警报,电器,火灾探测器,警報,電器,火災探測器
ALARMS,MISC,ALRMMisc,miscellaneous,警报,杂项,各种各样的,警報,其他,各種各樣的
ALARMS,SIREN,ALRMSirn,"klaxon, ahooga horn, air raid siren",警报,警报,"klaxon, ahooga horn, 空袭警报器",警報,警報器,"klaxon, ahooga horn, 空襲警報器"
AMBIENCE,AIR,AMBAir,"desert, winter, quiet air, night air, mountain air, night air",环境,气体,"沙漠,冬天,安静的空气,夜间空气,山间空气,夜间空气",環境,大氣音,"沙漠,冬天,安靜的空氣,夜間空氣,山間空氣,夜間空氣"
AMBIENCE,ALPINE,AMBAlpn,"alps, mountains, rockies, tetons, mountaineering, mountainous, snowcapped, mountainside, peak",环境,高山,"阿尔卑斯山,山,落基山脉,提顿,登山,多山,白雪皑皑,山腰,高峰",環境,高山,"阿爾卑斯山,山,落基山脈,提頓,登山,多山,白雪皚皚,山腰,高峰"
AMBIENCE,AMUSEMENT,AMBAmus,"disneyland, six-flags, theme park, amusement park, carnival, fair, county fair, midway, traveling fair",环境,娱乐,"迪士尼乐园, 六旗, 主题公园, 游乐园, 嘉年华, 公平, 县集市, 中途, 旅游博览会",環境,娛樂,"迪士尼樂園, 六旗, 主題公園, 遊樂園, 嘉年華, 公平, 縣集市, 中途, 旅遊博覽會"
AMBIENCE,BIRDSONG,AMBBird,"dawn chorus, morning chorus, pretty bird, flocks, chirping, tweeting, peeping",环境,鸟鸣,"黎明合唱团,早晨合唱团,漂亮的小鸟,羊群,啁啾,鸣叫,偷窥",環境,鳥鳴,"黎明合唱團,早晨合唱團,漂亮的小鳥,羊群,啁啾,鳴叫,偷窺"
AMBIENCE,CELEBRATION,AMBCele,"public gathering, event, party, gala, carnival, fest, fiesta",环境,庆典,"公众聚会,活动,派对,晚会,嘉年华,巨星,嘉年华",環境,慶典,"公眾聚會,活動,派對,晚會,嘉年華,巨星,嘉年華"
AMBIENCE,CONSTRUCTION,AMBCnst,"road construction, building, carpentry",环境,施工,"道路建设, 建筑, 木工",環境,施工,"道路建設, 建築, 木工"
AMBIENCE,DESERT,AMBDsrt,"desert, tumbleweed, oasis, barren, wasteland, sahara, arid, sand dunes",环境,沙漠,"沙漠,风滚草,绿洲,贫瘠,荒地,撒哈拉,干旱,沙丘",環境,沙漠,"沙漠,風滾草,綠洲,貧瘠,荒地,撒哈拉,乾旱,沙丘"
AMBIENCE,DESIGNED,AMBDsgn,"artificial, fantasy, sci fi, pandora, middle earth, designed",环境,设计后的,"人造,幻想,科幻,潘多拉,中土,设计",環境,設計的,"人造,幻想,科幻,潘多拉,中土,設計"
AMBIENCE,EMERGENCY,AMBEmrg,"crime scene, fire fighting, police, medics, evidence, natural disaster, shooting, accident, catastrophe, injury, pileup casualty",环境,紧急状态,"犯罪现场,消防,警察,医务人员,证据,自然灾害,射击,事故,灾难,伤害,累积伤亡",環境,緊急狀態,"犯罪現場,消防,警察,醫務人員,證據,自然災害,射擊,事故,災難,傷害,堆積傷亡"
AMBIENCE,FARM,AMBFarm,"farm, harvest, tilling, ranch, farmstead, grange, plantation, farmland, pen, barn, pasture, dairy, vineyard, corral, pastoral",环境,农场,"农场,收获,耕作,牧场,农庄,田庄,种植园,农田,钢笔,谷仓,牧场,乳制品,葡萄园,畜栏,田园",環境,農場,"農場,收穫,耕作,牧場,農莊,田莊,種植園,農田,鋼筆,穀倉,牧場,乳製品,葡萄園,畜欄,田園"
AMBIENCE,FOREST,AMBForst,"forest, woods, timberland, boreal forest, rainforest, temperate rainforest, cloud forest, deciduous, conifer",环境,森林,"森林,树林,林地,北方森林,热带雨林,温带雨林,云雾林,落叶,针叶树",環境,森林,"森林,樹林,林地,北方森林,熱帶雨林,溫帶雨林,雲霧林,落葉,針葉樹"
AMBIENCE,GRASSLAND,AMBGras,"prairie, farmland, grass, meadow, grazing, pasture, plains",环境,草地,"草原,农田,草地,草地,放牧,牧场,平原",環境,草原,"草原,農田,草地,草地,放牧,牧場,平原"
AMBIENCE,HISTORICAL,AMBHist,"ghost town, old west, gold rush, ancient rome, ancient greece",环境,历史年代,"鬼城, 老西部, 淘金热, 古罗马, 古希腊",環境,歷史年代,"鬼城, 老西部, 淘金熱, 古羅馬, 古希臘"
AMBIENCE,HITECH,AMBTech,"laboratory, machine room, server, data center, control room",环境,高科技,"实验室,机房,服务器,数据中心,控制室",環境,高科技,"實驗室,機房,服務器,數據中心,控制室"
AMBIENCE,HOSPITAL,AMBHosp,"emergency room, surgery, waiting room, sickhouse, clinic, sanatorium, infirmary",环境,医院,"急诊室,手术室,候诊室,病房,诊所,疗养院,医务室",環境,醫院,"急診室,手術室,候診室,病房,診所,療養院,醫務室"
AMBIENCE,INDUSTRIAL,AMBInd,"factory, manufacturing, plant, mill, warehouse, workshop",环境,工业,"厂,制造,厂,磨,仓库,车间",環境,工業,"廠,製造,廠,磨,倉庫,車間"
AMBIENCE,LAKESIDE,AMBLake,"lakes, lakeside, lapping, swimming, reservoir, pond, loch",环境,湖岸,"湖泊,湖边,研磨,游泳,水库,池塘,湖泊",環境,湖邊,"湖泊,湖邊,研磨,游泳,水庫,池塘,湖泊"
AMBIENCE,MARKET,AMBMrkt,"market, market place, vendor, shopping district, bazaar, mart, exchange, flea market, square",环境,市场,"市场,市场,供应商,购物区,集市,集市,交换,跳蚤市场,广场",環境,市場,"市場,市場,供應商,購物區,集市,集市,交換,跳蚤市場,廣場"
AMBIENCE,MISC,AMBMisc,miscellaneous,环境,杂项,各种各样的,環境,其他,各種各樣的
AMBIENCE,NAUTICAL,AMBNaut,"nautical, shipyard, poopdeck, stern, bow, aft, seafaring, seagoing, oceanic, marine, maritime, marina",环境,航海,"航海,造船厂,船尾甲板,船尾,船头,船尾,航海,远洋,海洋,海洋,海事,码头",環境,航海,"航海,造船廠,船尾甲板,船尾,船頭,船尾,航海,遠洋,海洋,海洋,海事,碼頭"
AMBIENCE,OFFICE,AMBOffc,"office, cubicle, workplace, department, station, branch, workstation",环境,办公室,"办公室,隔间,工作场所,部门,车站,分支机构,工作站",環境,辦公室,"辦公室,隔間,工作場所,部門,車站,分支機構,工作站"
AMBIENCE,PARK,AMBPark,"park, playground, gardens, botantical gardens, city park, suburban park, ballpark, parkland",环境,公园,"公园, 操场, 花园, 植物园, 城市公园, 郊区公园, 棒球场",環境,公園,"公園, 操場, 花園, 植物園, 城市公園, 郊區公園, 棒球場"
AMBIENCE,PRISON,AMBPrisn,"prison, jail, prison yard, penitentiary, slammer, jailhouse, detention, solitary confinement, penal institution",环境,监狱,"监狱, 监狱院子, slammer, 拘留, 单独监禁, 刑罚机构",環境,監獄,"監獄, 監獄院子, slammer, 拘留, 單獨監禁, 刑罰機構"
AMBIENCE,PROTEST,AMBPrtst,"protest, rally, rallies, riot, chanting, yelling, screaming, angry crowd, marches, demonstration, turmoil, revolt, revolution, angry",环境,游行,"抗议,集会,集会,骚乱,高喊,大喊大叫,尖叫,愤怒的人群,游行,示威,动荡,反抗,革命,愤怒",環境,示威抗議,"抗議,集會,集會,騷亂,高喊,大喊大叫,尖叫,憤怒的人群,遊行,示威,動盪,反抗,革命,憤怒"
AMBIENCE,PUBLIC PLACE,AMBPubl,"Except for restaurants, for other interior or exterior public places such as stores, lobbies, hotels, malls, museums, public squares, courtyards, etc.",环境,公共场所,"除餐厅外,其他室内或室外公共场所,如商店,大堂,酒店,商场,博物馆,公共广场,庭院等。",環境,公共場所,"除餐廳外,其他室內或室外公共場所,如商店,大堂,酒店,商場,博物館,公共廣場,庭院等。"
AMBIENCE,RELIGIOUS,AMBRlgn,"church, temple, mosque, chapel, derasar, cathedral",环境,宗教场所,"教堂,寺庙,清真寺,教堂,德拉萨,大教堂",環境,宗教場所,"教堂,寺廟,清真寺,教堂,德拉薩,大教堂"
AMBIENCE,RESTAURANT & BAR,AMBRest,"restaurant, bar, pub, gastropub, foodcart, diner, cafe, cafeteria, canteen, tearoom, saloon, coffee shop, pizzeria, fast-food, wine bar, automat, commissary, tavern, nightclub, deli, eatery, brasserie, drive-in",环境,餐馆,"餐厅,酒吧,酒馆,美食酒吧,餐车,小餐馆,咖啡厅,自助餐厅,食堂,茶室,沙龙,咖啡店,比萨店,快餐店,酒吧,自动售货机,小卖部,小酒馆,夜总会,熟食店,餐馆,小酒馆,驾驶-在",環境,餐廳,"餐廳,酒吧,酒館,美食酒吧,餐車,小餐館,咖啡廳,自助餐廳,食堂,茶室,沙龍,咖啡店,比薩店,快餐店,酒吧,自動售貨機,小賣部,小酒館,夜總會,熟食店,餐館,小酒館,駕駛-在"
AMBIENCE,ROOM TONE,AMBRoom,"room tone, dead air, quiet air",环境,房间底噪,"房间音,死气沉沉,安静的空气",環境,空間音,"房間音調,死氣沉沉的空氣,安靜的空氣"
AMBIENCE,RURAL,AMBRurl,"countryside, plain, prairie, grassland, mountain, rolling hill, savanna, tundra, meadow, canyon, coulee, scrub, scrubland, plateau",环境,农村,"农村,平原,草原,草原,山,连绵起伏的丘陵,稀树草原,苔原,草地,峡谷,古力,灌木丛,灌木丛,高原",環境,郊外,"農村,平原,草原,草原,山,連綿起伏的丘陵,稀樹草原,苔原,草地,峽谷,古力,灌木叢,灌木叢,高原"
AMBIENCE,SCHOOL,AMBSchl,"grade school, middle school, highschool, college, preschool, university, classroom, assembly",环境,校园,"小学,初中,高中,学院,学前班,大学,课堂,大会",環境,學校,"小學,初中,高中,學院,學前班,大學,課堂,大會"
AMBIENCE,SEASIDE,AMBSea,"beach, seaside, strand, coastal, shore, shoreline, seashore, seaboard, boardwalk, beach resort, beachfront, embankment, dock, pier, harbour, harbor",环境,海边,"海滩,海边,股,沿海,岸,海岸线,海滨,海滨,木板路,海滩度假村,海滨,堤防,码头,码头,海港,海港",環境,海邊,"海灘,海邊,股,沿海,岸,海岸線,海濱,海濱,木板路,海灘度假村,海濱,堤防,碼頭,碼頭,海港,海港"
AMBIENCE,SPORT,AMBSprt,"nfl, football, nba, basketball, mlb, baseball, tennis, sport event, little league, practice",环境,运动场,"Nfl, 足球, nba, 篮球, 美国职业棒球大联盟, 棒球, 网球, 体育赛事, 小联盟, 练习",環境,運動,"Nfl, 足球, nba, 籃球, 美國職業棒球大聯盟, 棒球, 網球, 體育賽事, 小聯盟, 練習"
AMBIENCE,SUBURBAN,AMBSubn,"suburb, residential, neighborhood, cul-de-sac, village, barrio, outskirts, hamlet",环境,郊区,"郊区,住宅,邻里,死胡同,村庄,巴里奥,郊区,小村庄",環境,郊區,"郊區,住宅,鄰里,死胡同,村莊,巴里奧,郊區,小村莊"
AMBIENCE,SWAMP,AMBSwmp,"frog, bog, swamp, marsh, everglade, wetland, riparian, lakeside, lake, mangrove",环境,沼泽地,"青蛙,沼泽,沼泽,沼泽,大沼泽地,湿地,河岸,湖边,湖,红树林",環境,沼澤,"青蛙,沼澤,沼澤,沼澤,大沼澤地,濕地,河岸,湖邊,湖,紅樹林"
AMBIENCE,TOWN,AMBTown,"town, village, hamlet, small town, community, settlement",环境,小镇,"镇,村,小村庄,小镇,社区,定居点",環境,城鎮,"鎮,村,小村莊,小鎮,社區,定居點"
AMBIENCE,TRAFFIC,AMBTraf,"car bys, freeway, highway, boulevard, avenue, motorway",环境,交通,"汽车旁, 高速公路, 林荫大道, 大道",環境,交通車流,"汽車bys, 高速公路, 林蔭大道, 大道"
AMBIENCE,TRANSPORTATION,AMBTran,"train station, airport, bus station, subway station, tube station, metro station, terminal, depot, terminus",环境,交通工具,"火车站,机场,汽车站,地铁站,地铁站,地铁站,终点站,车厂,终点站",環境,公共交通場所,"火車站,機場,汽車站,地鐵站,地鐵站,地鐵站,終點站,車廠,終點站"
AMBIENCE,TROPICAL,AMBTrop,"jungle, bush, tropical rainforest, cloud forest, tropical",环境,热带,"丛林,灌木,热带雨林,云雾林,热带",環境,熱帶,"叢林,灌木,熱帶雨林,雲霧林,熱帶"
AMBIENCE,TUNDRA,AMBTndra,"artic, antartic, plateau, north pole, south pole, polar, glacier, snow, ice",环境,苔原,"北极,南极,高原,北极,南极,极地,冰川,雪,冰",環境,冰原,"北極,南極,高原,北極,南極,極地,冰川,雪,冰"
AMBIENCE,UNDERGROUND,AMBUndr,"cave, drips, echoes, sewer, bunker, tunnel, dungeon, lava tube, cellar, subterranean, sunken, buried, belowground, basement, shaft, mine, passage, passageway",环境,地下室,"洞穴,滴水,回声,下水道,地堡,隧道,地牢,熔岩管,地窖,地下,沉没,埋藏,地下,地下室,竖井,矿井,通道,通道",環境,地下室,"洞穴,滴水,迴聲,下水道,地堡,隧道,地牢,熔岩管,地窖,地下,沉沒,埋藏,地下,地下室,豎井,礦井,通道,通道"
AMBIENCE,UNDERWATER,AMBUndwtr,"underwater, reef, coral, ocean trench, submerged, undersea, subaquatic, shipwreck",环境,水下,"水下,礁石,珊瑚,海沟,淹没,海底,水下,海难",環境,水下,"水下,礁石,珊瑚,海溝,淹沒,海底,水下,海難"
AMBIENCE,URBAN,AMBUrbn,"metropolis, dense city, city, downtown, inner city, metropolitan, bustling, rush hour, congestion, city center, slum, skid row, ghetto, financial district",环境,城市,"大都市, 密集的城市, 城市, 市中心, 内城, 大都会, 繁华, 高峰时间, 拥堵, 贫民窟, 金融区",環境,都市,"大都市, 密集的城市, 城市, 市中心, 內城, 大都會, 繁華, 高峰時間, 擁堵, 貧民窟, 金融區"
AMBIENCE,WARFARE,AMBWar,"war, warfare, battle, skirmish, combat, fight, engagement, assault, offensive, blitz, air-raid, raid, bombardment, barrage, fusillade, blitzkrieg, salvo, flak, broadside, cannonade",环境,战争,"战争,战争,战斗,小规模冲突,战斗,战斗,参与,攻击,进攻,闪电战,空袭,突袭,轰炸,弹幕,飞弹,闪电战,齐射,高射炮,舷侧,大炮",環境,戰爭,"戰爭,戰爭,戰鬥,小規模衝突,戰鬥,戰鬥,參與,攻擊,進攻,閃電戰,空襲,突襲,轟炸,彈幕,飛彈,閃電戰,齊射,高射砲,舷側,大砲"
ANIMALS,AMPHIBIAN,ANMLAmph,"frog, toad, bullfrog, salamander, newt, chorus frog, peeper, croaker, axolotl",动物,两栖动物,"青蛙,蟾蜍,牛蛙,蝾螈,蝾螈,合唱青蛙,偷窥者,黄花鱼,蝾螈",動物,兩棲類,"青蛙,蟾蜍,牛蛙,蠑螈,蠑螈,合唱青蛙,偷窺者,黃花魚,蠑螈"
ANIMALS,AQUATIC,ANMLAqua,"whale, dolphin, porpoise, sea lion, seal, killer whale, orca, manatee, walrus, elephant seal, marine otter, sea otter, beluga, narwhal, dugong, shark, stingray, jellyfish, squid, octopus",动物,水生动物,"鲸鱼, 海豚, 鼠海豚, 海狮, 密封, 虎鲸, 逆戟鲸, 海牛, 海象, 象海豹, 海洋水獭, 海獭, 白鲸, 独角鲸, 儒艮, 鲨鱼, 黄貂鱼, 海蜇, 鱿鱼, 章鱼",動物,水生動物,"鯨魚, 海豚, 鼠海豚, 海獅, 密封, 虎鯨, 逆戟鯨, 海牛, 海象, 像海豹, 海洋水獺, 海獺, 白鯨, 獨角鯨, 儒艮, 鯊魚, 黃貂魚, 海蜇, 魷魚, 章魚"
ANIMALS,BAT,ANMLBat,"flying fox, vampire bats, fruit bat",动物,蝙蝠,"狐蝠,吸血蝙蝠,果蝠",動物,蝙蝠,"狐蝠,吸血蝙蝠,果蝠"
ANIMALS,CAT DOMESTIC,ANMLCat,"meow, purr, kitten, kitty, feline, alley cat",动物,家猫,"喵,呼噜声,小猫,小猫,猫科动物,胡同猫",動物,家貓,"喵,呼嚕聲,小貓,小貓,貓科動物,胡同貓"
ANIMALS,CAT WILD,ANMLWcat,"lion, tiger, puma, cougar, leopard, jaguar, snow leopard, cheetah, lynx, bobcat, caracal, ocelot, panther, serval",动物,野猫,"狮子,老虎,美洲狮,美洲狮,豹,美洲虎,雪豹,猎豹,猞猁,山猫,狞猫,豹猫,豹,薮",動物,野貓,"獅子,老虎,美洲獅,美洲獅,豹,美洲虎,雪豹,獵豹,猞猁,山貓,獰貓,豹貓,豹,藪"
ANIMALS,DOG,ANMLDog,"dog, hound, bark, puppy, doggie, lapdog, mutt, pooch, wolf, fox, coyote, jackal, dingo, lupus",动物,狗,"狗,猎犬,吠声,小狗,小狗,哈巴狗,杂种狗,狗,狼,狐狸,土狼,豺狼,野狗,狼疮",動物,狗,"狗,獵犬,吠聲,小狗,小狗,哈巴狗,雜種狗,狗,狼,狐狸,土狼,豺狼,野狗,狼瘡"
ANIMALS,FARM,ANMLFarm,"cow, sheep, goat, pig, cattle, llama, alpaca",动物,养殖场,"牛,绵羊,山羊,猪,牛,美洲驼,羊驼",動物,農場,"牛,綿羊,山羊,豬,牛,美洲駝,羊駝"
ANIMALS,HORSE,ANMLHors,"donkey, mule, ass, zebra",动物,马,"驴,骡,驴,斑马",動物,馬,"驢,騾,驢,斑馬"
ANIMALS,INSECT,ANMLInsc,"grasshopper, cricket, cicada, fly, bee, wasp, hornet, weta, conehead, locust, beetle, cockroach",动物,昆虫,"蚱蜢,蟋蟀,蝉,飞,蜜蜂,黄蜂,大黄蜂,维塔,锥头,蝗虫,甲虫,蟑螂",動物,昆蟲,"蚱蜢,蟋蟀,蟬,飛,蜜蜂,黃蜂,大黃蜂,維塔,錐頭,蝗蟲,甲蟲,蟑螂"
ANIMALS,MISC,ANMLMisc,miscellaneous,动物,其他,各种各样的,動物,其他,各種各樣的
ANIMALS,PRIMATE,ANMLPrim,"chimpanzee, ape, gorilla, lemur, orangutan, capuchin, marmoset, monkey, gibbon, bonobo, baboon",动物,灵长类,"黑猩猩,猿,大猩猩,狐猴,猩猩,卷尾猴,狨猴,猴子,长臂猿,倭黑猩猩,狒狒",動物,靈長類,"黑猩猩,猿,大猩猩,狐猴,猩猩,卷尾猴,狨猴,猴子,長臂猿,倭黑猩猩,狒狒"
ANIMALS,REPTILE,ANMLRept,"snake, lizard, alligator, crocodile, turtle, gharial, caiman, gecko",动物,爬行动物,"蛇,蜥蜴,鳄鱼,鳄鱼,龟,gharial,凯门鳄,壁虎",動物,爬蟲類,"蛇,蜥蜴,鱷魚,鱷魚,龜,gharial,凱門鱷,壁虎"
ANIMALS,RODENT,ANMLRdnt,"mouse, mice, rat, squirrel, mole, porcupine, guinea pig, chipmunk, beaver, gopher, raccoon, prairie dog, gerbil, hamster, marmot, lemming, muskrat, chinchilla",动物,啮齿动物,"老鼠, 松鼠, 鼹鼠, 豪猪, 豚鼠, 花栗鼠, 海狸, 地鼠, 浣熊, 草原土拨鼠, 沙鼠, 仓鼠, 土拨鼠, 旅鼠, 麝鼠, 龙猫",動物,嚙齒動物,"老鼠, 松鼠, 鼴鼠, 豪豬, 豚鼠, 花栗鼠, 海狸, 地鼠, 浣熊, 草原土撥鼠, 沙鼠, 倉鼠, 土撥鼠, 旅鼠, 麝鼠, 龍貓"
ANIMALS,WILD,ANMLWild,"bear, giraffe, hippo, elephant, elk, deer, gazelle, badger, anteater, platypus, sloth, wolverine, boar, wombat, koala, kangaroo, wallaby, wildebeest, hyena, panda, antelope, racoon, elk, reindeer, rhino, aardvark, warthog, impala, hippopotamus, honey badger, buffalo, moose",动物,野生动物,"熊,长颈鹿,河马,大象,麋鹿,鹿,瞪羚,獾,食蚁兽,鸭嘴兽,树懒,金刚狼,野猪,袋熊,考拉,袋鼠,小袋鼠,角马,鬣狗,熊猫,羚羊,浣熊,麋鹿,驯鹿,犀牛,土豚,疣猪,黑斑羚,河马,蜜獾,水牛,驼鹿",動物,野生動物,"熊,長頸鹿,河馬,大象,麋鹿,鹿,瞪羚,獾,食蟻獸,鴨嘴獸,樹懶,金剛狼,野豬,袋熊,考拉,袋鼠,小袋鼠,角馬,鬣狗,熊貓,羚羊,浣熊,麋鹿,馴鹿,犀牛,土豚,疣豬,黑斑羚,河馬,蜜獾,水牛,駝鹿"
ARCHIVED,ASSET,ASSET,"asset, resource, tag",存档,资源,"资产,资源,标签",封存,資產,"資產,資源,標籤"
ARCHIVED,BOUNCE,BNCE,"bounce, crashdown",归档,导出,"弹跳,崩溃",封存,輸出,"彈跳,崩潰"
ARCHIVED,IMPULSE RESPONSE,IR,"impulse response, IR, altiverb, reverb sample, convolution reverb",归档,卷积混响素材,"脉冲响应,IR,altiverb,混响采样,卷积混响",封存,脈衝響應,"脈衝響應,IR,altiverb,混響採樣,卷積混響"
ARCHIVED,MIX,MIX,"premix, final mix, stem, M&E, mixdown, printmaster",归档,已混音,"预混,最终混音,词干,M&E,混音,印刷大师",封存,混音,"預混,最終混音,詞幹,M&E,混音,印刷大師"
ARCHIVED,PFX,PFX,production,归档,其他产品素材,生产,封存,製作素材,生產
ARCHIVED,RAW,RAW,"dat tape, raw files, unprocessed",归档,原始素材,"数据磁带,原始文件,未处理",封存,原始素材,"數據磁帶,原始文件,未處理"
ARCHIVED,REFERENCE,REF,"reference, inspiration",归档,参考素材,"参考,灵感",封存,參考素材,"參考,靈感"
ARCHIVED,SCENE,SCNE,"readymade, prebuilt",归档,场景素材,"现成的,预制的",封存,場景素材,"現成的,預製的"
ARCHIVED,TEST TONE,TEST,"adr beeps, test tones, bleeping tone, 2pops, white noise, pink noise, sine wave sweeps",归档,测试音,"adr 哔哔声,测试音,哔音,2pops,白噪声,粉红噪声,正弦波扫描",封存,測試音,"adr 嗶嗶聲,測試音,嗶音,2pops,白噪聲,粉紅噪聲,正弦波掃描"
ARCHIVED,TRADEMARKED,TMARK,"trademark, copyright, product sound, licensed, registered, legal",归档,商标音,"商标,版权,产品声音,许可,注册,合法",封存,商標音,"商標,版權,產品聲音,許可,註冊,合法"
ARCHIVED,WORK IN PROGRESS,WIP,"work in progress, wip, unfinished",归档,过程中素材,"工作进行中,擦拭,未完成",封存,進行中素材,"工作進行中,擦拭,未完成"
ARCHIVED,WTF,WTF,"uncategorizable, unknown, jokes",归档,未确认素材,"不可归类的,未知的,笑话",封存,這三小,"不可歸類的,未知的,笑話"
BEEPS,APPLIANCE,BEEPAppl,"microwave, dishwasher, washing machine, dryer",提示音,电器,"微波炉,洗碗机,洗衣机,烘干机",提示音,電器,"微波爐,洗碗機,洗衣機,烘乾機"
BEEPS,GENERAL,BEEP,beep,提示音,通用,嘟,提示音,一般,嘟
BEEPS,LOFI,BEEPLofi,"atari, famicom, colecovision",提示音,低保真,"雅达利,famicom,colecovision",提示音,低傳真,"雅達利,famicom,colecovision"
